job_title,company_name,location,start_date,ctc,experience,posted,skills_required
Business Development Associate,Break The Code,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-1 years,3 days ago,"['Pitching', 'Negotiation', 'Communication']"
IELTS/PTE/Spoken English Trainer,DePioneer Education Overseas,Delhi,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago,"['Teaching', 'Communication', 'Presentation']"
Fashion Designer,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,"3 days ago


Be an early applicant","['Creativity', 'Adobe Illustrator', 'Fashion Sketching']"
Corporate Sales Executive,Kompass India Information Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-5 years,3 weeks ago,"['Salesforce', 'Negotiation', 'Lead Generation']"
Junior Python Developer,Extension Technologies Private Limited,Faridabad,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,2 weeks ago,"['Flask', 'PostgreSQL', 'Git']"
Social Media Manager,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Video Editor & Graphic Designer,Brilliance Academy,Work from home,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Business Development Executive,Physics Wallah,Kozhikode,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-1 years,"1 day ago


Be an early applicant","['Excel', 'Pitching', 'Negotiation']"
Sales Associate,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,52,000 - 4,00,000",0-4 years,4 days ago,"['Teamwork', 'Communication', 'Time Management']"
Domain Specialist Company Secretary,ClearTax,Bangalore,Starts Immediately,"₹ 7,00,000 - 10,00,000",0-2 years,2 days ago,"['Communication', 'Time Management', 'MS Office']"
Senior Tax Expert- Semi CA,ClearTax,"Delhi, Bangalore",Starts Immediately,"₹ 5,00,000 - 8,00,000",1-3 years,2 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Customer Success Manager,ClearTax,Bangalore,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 days ago,"['MS Office', 'Teamwork', 'Communication']"
Inside Sales Manager,ClearTax,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5 years,2 days ago,"['Communication', 'Time Management', 'Teamwork']"
Data Analyst,Media.net,Mumbai,Starts Immediately,"₹ 4,00,000 - 5,00,000",1 year,6 days ago,"['SQL', 'Python', 'Excel']"
Copywriter/Creative Strategist,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-5 years,1 week ago,"['MS Office', 'Communication', 'Teamwork']"
HTML Developer,Hansa Cequity,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,50,000",1-3 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Trainee Business Associate,Porter,Nashik,Starts Immediately,"₹ 2,75,000",0-2 years,3 weeks ago,"['Time Management', 'Communication', 'Teamwork']"
Associate Product Manager,Cardekho.com,Jaipur,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,Few hours ago,"['Teamwork', 'Communication', 'MS Office']"
Finance Teacher,BrightChamps Tech Private Limited,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,Few hours ago,"['Communication', 'MS Office', 'Time Management']"
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000 - 2,17,995",0-2 years,Few hours ago,"['Salesforce', 'Negotiation', 'Lead Generation']"
Corporate Sales Executive,Godrej Properties Limited,Pune,Starts Immediately,"₹ 5,00,000 - 10,00,000",0-5 years,Few hours ago,"['Negotiation', 'Salesforce', 'Lead Generation']"
Content Writer,College Dunia,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,"['MS Office', 'Communication', 'Teamwork']"
Junior Operations Associate,Frontier,Work from home,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,1 day ago,"['Time Management', 'MS Office', 'Communication']"
Business Development Trainee,Kalvium,Bangalore,Starts Immediately,"₹ 5,00,000",0-5 years,1 day ago,"['Pitching', 'Market Research', 'Excel']"
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,"['Time Management', 'MS Office', 'Teamwork']"
Business Development Associate,Urban Company,Delhi,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 days ago,"['Pitching', 'Market Research', 'Negotiation']"
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,"['Excel', 'Market Research', 'Pitching']"
Program Manager,Kalvium,Bangalore,Starts Immediately,"₹ 7,00,000",0-5 years,3 days ago,"['MS Office', 'Communication', 'Time Management']"
Business Development Executive,Apollo Home Healthcare Limited,Delhi,Starts Immediately,"₹ 2,50,000 - 4,75,000",0-2 years,3 days ago,"['Negotiation', 'Pitching', 'Communication']"
Product Support Executive-Technology,InCred Financial Services Limited,Mumbai,Starts Immediately,"₹ 3,20,000 - 3,20,001",0-2 years,3 days ago,"['MS Office', 'Teamwork', 'Communication']"
Scheduling Executive,Viacom 18 Media Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,3 days ago,"['Teamwork', 'Communication', 'Time Management']"
Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,20,000 - 2,60,000",0-2 years,3 days ago,"['Lead Generation', 'Salesforce', 'MS Excel']"
Business Development Associate,BYJUS The Learning App,"Chandigarh, Delhi, Gurgaon, Jaipur, Uttarkashi, Noida, Gujarat",Starts Immediately,"₹ 2,10,000 - 3,20,000",0-2 years,3 days ago,"['Excel', 'Market Research', 'Pitching']"
Academic Counselor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,60,000 - 4,00,000",0-2 years,3 days ago,"['Teamwork', 'Time Management', 'Communication']"
Business Development Associate,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,40,000 - 5,50,000",0-5 years,3 days ago,"['Market Research', 'Negotiation', 'Communication']"
Associate Center Manager,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,"['Teamwork', 'Communication', 'Time Management']"
Business Development Associate,BYJUs,"Keralassery, Andra, Bangalore, Tamil Nadu",Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,3 days ago,"['Excel', 'Negotiation', 'Market Research']"
Customer Success Associate,Vertex Cosmos,"Jaipur, Rajasthan",Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,3 days ago,"['Time Management', 'Teamwork', 'Communication']"
Academic Counsellor,CollegeDekho.com,Gurgaon,Starts Immediately,"₹ 2,80,000 - 4,50,000",0-2 years,4 days ago,"['Time Management', 'MS Office', 'Teamwork']"
Business Development Associate,Netscribes (India) Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,4 days ago,"['Pitching', 'Market Research', 'Excel']"
Human Resources (HR) Associate,SBI Funds Management Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,4 days ago,"['Communication', 'MS Office', 'Time Management']"
Home Consultant,Pepperfry,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,4 days ago,"['Teamwork', 'Time Management', 'Communication']"
Business Development Associate,BYJU'S The Learning App,"Gujarat, Rajasthan, Delhi",Starts Immediately,"₹ 7,00,000 - 8,00,000",0-5 years,4 days ago,"['Negotiation', 'Excel', 'Communication']"
RETAIL PARTNER (TEAM LEADER),Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,4 days ago,"['Teamwork', 'MS Office', 'Communication']"
Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago,"['CRM', 'Lead Generation', 'Negotiation']"
HR Executive,Mynd Solutions Private Limited,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,5 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Relationship Manager,HiyaMee Private Limited,Mumbai,Starts Immediately,"₹ 3,75,000 - 4,00,000",0-2 years,5 days ago,"['Time Management', 'Communication', 'MS Office']"
Business Development Associate,BYJUs,Udaipur,Starts Immediately,"₹ 7,50,000 - 8,50,000",0-5 years,5 days ago,"['Pitching', 'Market Research', 'Excel']"
Junior Engineer,Enphase Solar Energy,"Delhi, Noida, Mumbai, Pune, Ghaziabad",Starts Immediately,"₹ 4,00,000",0-2 years,6 days ago,"['Time Management', 'Teamwork', 'MS Office']"
Executive - Product Support,Directi,"Bangalore, Mumbai",Starts Immediately,"₹ 5,00,000",0-5 years,6 days ago,"['Teamwork', 'Time Management', 'MS Office']"
Omni Sport Leader (Women),Decathlon,Bangalore,Starts Immediately,"₹ 2,88,000 - 3,24,000",0-2 years,6 days ago,"['Teamwork', 'Time Management', 'MS Office']"
PRS Analyst,Viacom 18 Media Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,6 days ago,"['Time Management', 'MS Office', 'Communication']"
3D Generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago,"['MS Office', 'Communication', 'Teamwork']"
Associate Accountant,Team Management Services,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Ambernath, Kurla",Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,6 days ago,"['Communication', 'Time Management', 'Teamwork']"
Business Development Associate,Kalvium,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,"['Pitching', 'Communication', 'Market Research']"
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago,"['Market Research', 'Excel', 'Negotiation']"
Data Analyst Consultant,Educate Girls,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago,"['Power BI', 'Data Visualization', 'Python']"
US IT Recruiter,Spectraforce Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Teamwork']"
Human Resources (HR) Executive,Hear.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Teamwork']"
Business Development Associate,Urban Company,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Market Research', 'Pitching', 'Negotiation']"
Business Development Manager,MyGate,"Gurgaon, Noida, Bangalore",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Pitching', 'Market Research', 'Negotiation']"
Accounts Executive - Taxation,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Communication']"
Business Development Associate,BYJUs,"Bangalore, Chennai, Hyderabad",Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,"['Market Research', 'Excel', 'Negotiation']"
Feild Sales Officer,Paytm,"Madhya Pradesh, Punjab, Bihar, Hariyana, Mumbai, Ghaziabad",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Sales Recruitment,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,"['Communication', 'Teamwork', 'MS Office']"
Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,"['Excel', 'Communication', 'Negotiation']"
Sales Manager,Bajaj Allianz Life Insurance Company Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Business Development Associate,BYJU'S The Learning App,"Delhi, Rajasthan, Gujrat, Punjab, Uttarkhanda",Starts Immediately,"₹ 4,50,000 - 5,50,000",0-5 years,1 week ago,"['Pitching', 'Negotiation', 'Excel']"
Business Operations Analyst,Media.net,Mumbai,Starts Immediately,"₹ 3,00,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Corporate Sales Executive,PolicyBazaar.com,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['MS Excel', 'CRM', 'Negotiation']"
Field Sales Executive/Counselor/Relationship Executive,Lifecell International Private Limited,"Delhi, Gurgaon, Uttar Pradesh",Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago,"['Negotiation', 'MS Excel', 'CRM']"
Interior Designer,NoBroker Technologies Solutions Private Limited,"Mumbai, Hyderabad, Noida, Gurgaon",Starts Immediately,"₹ 3,09,600 - 3,81,600",0-2 years,1 week ago,"['Communication', 'MS Office', 'Teamwork']"
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 4,10,000 - 4,20,000",0-2 years,1 week ago,"['Lead Generation', 'MS Excel', 'Salesforce']"
Omni Sport Leader,Decathlon,"Chinchwad, Wakad, Nigdi, Pimpri-Chinchwad, Pune, Akurdi, Aundh",Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Communication']"
Interior Designer,NoBroker Technologies Solutions Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,80,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Time Management']"
Telecaller,People Interactive Private Limited (Shaadi.com),Chennai,Starts Immediately,"₹ 2,00,000 - 2,75,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Zonal Assistant Manager- Logistics,FirstCry.com,Work from home,Starts Immediately,"₹ 3,60,000 - 4,00,000",0-2 years,1 week ago,"['Communication', 'Teamwork', 'MS Office']"
Executive - Catalogue Music,Saregama India Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Inside Sales Specialist,Infinity Learn,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
Jr. Graphic Designer,LimeRoad,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'Teamwork']"
Customer Success Associate,Media.net,"Bangalore, Mumbai",Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Associate Accountant,RAK Ceramics,Samalkota,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,1 week ago,"['Teamwork', 'Communication', 'Time Management']"
Junior Recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,46,000 - 3,00,000",0-2 years,1 week ago,"['Teamwork', 'Communication', 'Time Management']"
Tele Associate | Free Listed Seller Content Enrichment,IndiaMART InterMESH Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Junior Lawyer,DR LAW,Delhi,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Security Team Leader/Team Member,Taj Hotels,Chennai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Business Development Associate - Sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,50,000 - 6,50,000",0-5 years,1 week ago,"['Excel', 'Negotiation', 'Pitching']"
Dy.manager - Sales,Ion Exchange India Limited,"Hyderabad, Bangalore, Chennai",Starts Immediately,"₹ 3,00,000 - 10,00,000",0-5 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Telecaller,Globiva,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Information Support Trainee,SISL Infotech Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Sales Team Leader,GBH Auto Mechanics And Services LLP,Kolkata,Starts Immediately,"₹ 4,60,000 - 7,44,000",0-5 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Curriculum Designer,Ampersand Group,Mumbai,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Finance Trainee,McDonald's,Delhi,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Business Development Associate,BYJU'S The Learning App,Kolkata,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago,"['Excel', 'Communication', 'Negotiation']"
Inside Sales Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
HR Recruiter,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
Academic Content Writer,Zucol Group Of Companies,Indore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Time Management']"
Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago,"['Excel', 'Market Research', 'Negotiation']"
Omni Sport Leader,Decathlon Sports India Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago,"['Teamwork', 'Communication', 'Time Management']"
Business Development Associate,Urban Company,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,"['Negotiation', 'Excel', 'Communication']"
Academic Counselor,Infinity Learn,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,"['Communication', 'Teamwork', 'MS Office']"
Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago,"['Social Media', 'Canva', 'Google Ads']"
Business Development Associate,BYJU'S The Learning App,"Bangalore, Hyderabad, Kochi, Chennai, Coimbatore, Visakhapatnam, Kozhikode",Starts Immediately,"₹ 2,10,000 - 8,50,000",0-5 years,2 weeks ago,"['Negotiation', 'Communication', 'Market Research']"
Business Analyst,FirstCry.com,Dehradun,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago,"['Teamwork', 'MS Office', 'Communication']"
Team Lead Finance,Apidel Technologies,Vadodara,Starts Immediately,"₹ 5,00,000 - 6,00,000",0-5 years,2 weeks ago,"['Teamwork', 'Communication', 'MS Office']"
Junior Talent Acquisition Executive,Lodha Group,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago,"['Communication', 'Time Management', 'MS Office']"
Business Development Associate,BYJU'S The Learning App,Noida,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago,"['Market Research', 'Pitching', 'Communication']"
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000",0-2 years,2 weeks ago,"['CRM', 'MS Excel', 'Salesforce']"
Content Writer,Leverage Edu,Noida,Starts Immediately,"₹ 3,00,000 - 4,80,000",0-2 years,2 weeks ago,"['Communication', 'Time Management', 'MS Office']"
Business Development Counselor,Planet Spark,Gurgaon,Starts Immediately,"₹ 2,00,000 - 6,50,000",0-5 years,2 weeks ago,"['Pitching', 'Market Research', 'Communication']"
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago,"['Market Research', 'Negotiation', 'Excel']"
Omni Sport Leader,Decathlon,Pune,Starts Immediately,"₹ 2,40,000 - 2,80,000",0-2 years,2 weeks ago,"['MS Office', 'Communication', 'Time Management']"
Sap Executive,Gravita India Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,"['MS Office', 'Time Management', 'Communication']"
Customer Success Consultant,PeopleStrong,Gurgaon,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,"['Time Management', 'MS Office', 'Communication']"
Telecaller,Nirvasa,"Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago,"['MS Office', 'Time Management', 'Communication']"
Talent Acquisition Executive,FirstCry,Dehradun,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago,"['Teamwork', 'Time Management', 'MS Office']"
Business Development Executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,2 weeks ago,"['Communication', 'Excel', 'Pitching']"
Business Development Executive,Lifecell International Private Limited,"Delhi, Kota, Ghaziabad, Noida, Jaipur, Baroda, Pune, Rajkot, Mumbai",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 weeks ago,"['Excel', 'Negotiation', 'Market Research']"
Sales Team Leader,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,2 weeks ago,"['Time Management', 'Teamwork', 'MS Office']"
Field Sales Executive,Lindstrom Services India,"Faridabad, Delhi",Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,2 weeks ago,"['MS Excel', 'Lead Generation', 'Negotiation']"
Assistant Sales Manager,PropertyPistol Realty Private Limited,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,"['Communication', 'MS Office', 'Teamwork']"
Omni Sport Leader (Sales Manager),Decathlon,"Thane, Mumbai",Starts Immediately,"₹ 4,40,000 - 5,50,000",0-5 years,2 weeks ago,"['MS Office', 'Time Management', 'Communication']"
Customer Care Executive,IDP,Surat,Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,2 weeks ago,"['MS Office', 'Communication', 'Teamwork']"
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,2 weeks ago,"['Pitching', 'Market Research', 'Excel']"
Content Marketer,KocharTech,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,2 weeks ago,"['Time Management', 'Communication', 'Teamwork']"
Senior Executive,Mahindra Home Finance,"Thoothukudi, Kangeyam, Annur, Madurai, Pollachi, Palani, Tiruchendur, Tiruppur",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago,"['Time Management', 'MS Office', 'Teamwork']"
Performance Marketing,Worldwide Media (Times Group),Work from home,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago,"['Communication', 'Time Management', 'MS Office']"
Branch Credit Officer,Mahindra Home Finance,"Paramakudi, Nagercoil, Attur, Marthandam, Kaikatti",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago,"['Communication', 'Teamwork', 'MS Office']"
Sports Manager,Decathlon Sport India Private Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago,"['Time Management', 'Communication', 'MS Office']"
Sales Executive,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,2 weeks ago,"['MS Excel', 'Lead Generation', 'CRM']"
Store Staff,Pepperfry,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,2 weeks ago,"['Time Management', 'MS Office', 'Teamwork']"
Corporate Sales Executive,Pepperfry,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,2 weeks ago,"['CRM', 'MS Excel', 'Lead Generation']"
Business Development Trainee,Planet Spark,Gurgaon,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 weeks ago,"['Communication', 'Negotiation', 'Excel']"
Business Development Associate,BYJU'S The Learning App,"Haridwar, Noida, Jaipur, Surat, Ludhiana, Bhavnagar, Delhi, Amritsar, Ghaziabad, Gurgaon, Ahmedabad, Karnal",Starts Immediately,"₹ 4,50,000 - 8,50,000",0-5 years,3 weeks ago,"['Market Research', 'Communication', 'Negotiation']"
Omni Sport Leader,Decathlon Sport India Private Limited,Gurgaon,Starts Immediately,"₹ 3,36,000 - 3,60,000",0-2 years,3 weeks ago,"['Communication', 'Teamwork', 'MS Office']"
Cloud Engineer Trainee,Redington India Limited,"Chennai, Mumbai, Bangalore, Delhi",Starts Immediately,"₹ 4,50,000 - 5,00,000",0-5 years,3 weeks ago,"['Time Management', 'MS Office', 'Communication']"
Music Tracker,Saregama India Limited,Chennai,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago,"['Time Management', 'Communication', 'Teamwork']"
Business Development Executive,Plada Infotech Services Limited,"Bangalore, Hyderabad, Kolkata, Mumbai, Chennai, Delhi, Chandigarh, Gurgaon, Jaipur",Starts Immediately,"₹ 2,20,000 - 4,20,000",0-2 years,3 weeks ago,"['Communication', 'Excel', 'Market Research']"
HR Analyst,Mazars LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,3 weeks ago,"['Teamwork', 'Time Management', 'MS Office']"
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago,"['Excel', 'Pitching', 'Negotiation']"
US Olympics Junior Writer,Sportskeeda,Work from home,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago,"['Time Management', 'Communication', 'MS Office']"
Non IT Recruiter,Spinny - Valuedrive Technologies Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago,"['MS Office', 'Teamwork', 'Time Management']"
Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,"Hubli, Bangalore, Davangere",Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,3 weeks ago,"['Lead Generation', 'Salesforce', 'Negotiation']"
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,3 weeks ago,"['Excel', 'Negotiation', 'Pitching']"
Assistant Manager Sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 9,00,000 - 10,00,000",0-5 years,3 weeks ago,"['Communication', 'Teamwork', 'MS Office']"
Audit Associate,Writer Safeguard Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago,"['MS Office', 'Time Management', 'Communication']"
Apprentice - HR,Zydus Lifescience,Ahmedabad,Starts Immediately,"₹ 2,40,000",0-2 years,3 weeks ago,"['MS Office', 'Teamwork', 'Time Management']"
Corporate Sales Executive,NIIT Foundation,Delhi,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,3 weeks ago,"['Lead Generation', 'MS Excel', 'CRM']"
Business Development Executive,BYJU'S The Learning App,"Mumbai, Chandigarh, Delhi",Starts Immediately,"₹ 2,00,000 - 2,70,000",0-2 years,3 weeks ago,"['Communication', 'Excel', 'Market Research']"
Recruiter,ASMACS Skill Development Limited,Mira Bhayandar,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago,"['Teamwork', 'Communication', 'MS Office']"
Field Sales Associate,PolicyBazaar.com,"Gurgaon, Delhi",Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,3 weeks ago,"['MS Office', 'Time Management', 'Communication']"
