job_title,company_name,location,start_date,ctc,experience,posted,skills_required
Business Development Executive,Provost Solutions,Hyderabad,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Communication', 'Negotiation', 'Excel']"
Lead Closing Specialist,Primite Marketing,Gurgaon,Starts Immediately,"₹ 2,50,000 - 9,00,000",0-5 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
IT Sales,Persystent Consultancy,"Ghaziabad, Delhi, Noida",Starts Immediately,"₹ 3,00,000 - 4,20,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
Administrative Executive,Tent N' Trails,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Site Supervisor,Sumanth Reddy,Hyderabad,Starts Immediately,"₹ 5,00,000 - 6,00,000",0-5 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Business Analyst,Future Skills,Hyderabad,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,"['Teamwork', 'Time Management', 'Communication']"
Sales Manager,Orango Solutions,Imphal,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Teamwork']"
Data Scientist,Future Skills,Hyderabad,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago,"['Communication', 'Time Management', 'Teamwork']"
Graphic Designer,Socnity Media,Pune,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Marketing Manager,Raksha Industries,Work from home,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Digital Marketing Manager,Mahalka,Work from home,Starts Immediately,"₹ 3,60,000 - 6,00,000",0-5 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Business Development Executive,Advait Business Solutions Private Limited,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,"['Negotiation', 'Communication', 'Excel']"
Bookkeeping Executive,"Oaktree Equity (Elyria, United States)",Work from home,Starts Immediately,"$ 3,000 - 3,600",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
iOS App Developer,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 5,00,000",0-5 years,1 week ago,"['Communication', 'MS Office', 'Teamwork']"
Artificial Intelligence (AI) Executive,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 8,00,000 - 12,00,000",0-5 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Marketing Executive,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,1 week ago,"['Social Media', 'Google Ads', 'SEO']"
Finance Executive,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 5,00,000 - 8,00,000",0-5 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Human Resources (HR) Specialist,Buddha Education Association Incorporation,Pune,Starts Immediately,"₹ 8,00,000 - 10,00,000",0-5 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Data Scientist,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 6,00,000 - 8,50,000",0-5 years,1 week ago,"['Time Management', 'Teamwork', 'Communication']"
Backend Developer,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 5,00,000 - 8,00,000",0-5 years,1 week ago,"['Time Management', 'Teamwork', 'Communication']"
Front End Developer,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Junior Operations Executive,UFaber Edutech,Work from home,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Digital Marketing Associate,Testbook,Noida,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
Associate Accountant,Stackfusion Private Limited,"Pune, Gurgaon",Starts Immediately,"₹ 2,40,000 - 5,00,000",0-5 years,1 week ago,"['Communication', 'Teamwork', 'Time Management']"
Associate Content Writer,Verbinden Communication Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Time Management', 'Teamwork', 'MS Office']"
Audit Assistant,JVB & Company,Mumbai,Starts Immediately,"₹ 2,40,000",0-2 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Associate Analyst,Finxera India Private Limited (Acquired By Priority Holdings),Chandigarh,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Founders Office Manager,LineupX,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Content & E-commerce Management Executive,Pixowl Productions,Delhi,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Telecaller,Refer Loan Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Web Developer,The Brand Exact (TBE),Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
Digital Marketing Executive,VA Mantra,Surat,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['Social Media', 'Canva', 'Google Ads']"
Architect,RRA Project Management,Gurgaon,Starts Immediately,"₹ 4,10,000 - 5,00,000",0-5 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Inside Sales Representative,Knowledgeworks Innovative Linguistic Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,25,000 - 2,75,000",0-2 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Full Stack Developer,ScholarNest Technologies Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Time Management', 'MS Office', 'Teamwork']"
Junior Search Engine Optimization (SEO) Executive,Intact QuickBooks Corporate Solution LLP,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 4,80,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'Communication']"
Accountant,Jain & Jain Travels,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Teamwork']"
Telecaller,Your Placement Guide,Bangalore,Starts Immediately,"₹ 2,70,000 - 3,60,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Communication']"
Business Development Executive,Math Creations Private Limited,Bangalore,Starts Immediately,"₹ 2,40,000 - 4,20,000",0-2 years,1 week ago,"['Communication', 'Negotiation', 'Excel']"
Business Development Manager,EternalFlowers,Kochi,Starts Immediately,"₹ 2,25,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'Pitching', 'Market Research']"
Business Development Executive,Zyoin Web Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['Market Research', 'Pitching', 'Negotiation']"
Junior SEO Analyst,Betatest Solutions Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Time Management']"
Accounting Executive,Mapasu Consulting Services,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Investment Banker (Fresher),Imarticus,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,"['Communication', 'Time Management', 'MS Office']"
Academic Counselor,Euro Dreams Eduverseas Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago,"['Communication', 'Teamwork', 'Time Management']"
Business Development Executive,Envision Overseas Education Consultants,"Mumbai, Pune, Bangalore, Ahmedabad, Delhi",Starts Immediately,"₹ 2,50,000 - 5,00,000",0-5 years,1 week ago,"['Pitching', 'Communication', 'Excel']"
Relationship Manager (Field Sales),Acme Services,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Communication', 'Teamwork', 'MS Office']"
Digital Marketing Executive,Bluez Infomatic Solutions,"Tiruppur, Coimbatore",Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['SEO', 'Canva', 'Social Media']"
Creative Designer,Kshemya,Noida,Starts Immediately,"₹ 2,30,000 - 3,50,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
Administration Associate,Pankaj Chandna & Company,Sonipat,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Associate Content Writer,Oriental Consultants,Lucknow,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Telecaller,The Spider India,Chennai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Sales Development Representative,Cloudaeon Software Technology Private Limited,Pune,Starts Immediately,"₹ 3,50,000 - 4,50,000",0-2 years,1 week ago,"['Time Management', 'Teamwork', 'MS Office']"
Junior Graphic Designer,Kali Coffee,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Office And Accounts Executive,Wisdom Tree,Gurgaon,Starts Immediately,"₹ 2,60,000 - 3,00,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Business Development Executive,Talking Crooks IT Private Limited,Work from home,Starts Immediately,"₹ 2,04,000 - 4,50,000",0-2 years,1 week ago,"['Excel', 'Pitching', 'Negotiation']"
Corporate Sales Executive,Harkoi,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Negotiation', 'MS Excel', 'Lead Generation']"
Customer Support Executive,Urbanium Private Limited (Worksy),Kolkata,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
Tellercaller,Earnestroi Solutions,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Junior Search Engine Optimization (SEO) Associate,The Concept Company,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Communication']"
Junior Social Media Marketing Specialist,Seven Pillars Design Studio,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago,"['Time Management', 'Teamwork', 'Communication']"
Social Media Marketing Executive,De Sorpresa,Delhi,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['SEO', 'Social Media', 'Content Writing']"
Business Development Executive,Kanchan Cassette & Series (KSeries),Jaipur,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago,"['Pitching', 'Market Research', 'Communication']"
HR Trainee,Wildnet Technologies Private Limited,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'Teamwork', 'MS Office']"
Customer Service Associate,Gift It Right,Delhi,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Project Executive,Cognus Technology,Jaipur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Communication', 'MS Office', 'Time Management']"
Inside Sales Associate,Livofy,Gurgaon,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Teamwork']"
Office Executive,Areca,Guwahati,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Time Management', 'Teamwork', 'Communication']"
Guest Service Associate-Front Office,Stay Bird Hotels & Apartments,Pune,Starts Immediately,"₹ 2,00,000 - 2,05,000",0-2 years,1 week ago,"['Time Management', 'MS Office', 'Teamwork']"
Site Engineer,Wakode Builders,Pune,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
React Native Developer,Metricoid Technology Solutions Private Limited,Work from home,Starts Immediately,"₹ 2,10,000 - 2,20,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'Teamwork']"
Flutter Developer,Think Again Lab,Kolkata,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'Communication']"
Junior Graphic Designer,QI Spine Clinic,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
Agency Sales Officer,Bajaj Allianz Life Insurance Company,"Navi Mumbai, Mumbai, Thane",Starts Immediately,"₹ 2,28,000 - 6,00,000",0-5 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Human Resources (HR) Executive,International Certification Services,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['Communication', 'Time Management', 'Teamwork']"
Business Development Executive,Thetechgalore,Work from home,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,"['Negotiation', 'Excel', 'Market Research']"
Business Development Executive,Loanwise Financial Services Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,"['Pitching', 'Negotiation', 'Excel']"
Ground Staff,Skytech Aviation,"Sultanpur, Sitapur, Kushinagar, Kanpur Dehat, Delhi, Deoria, Gorakhpur, Jhansi, Lucknow",Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,1 week ago,"['Time Management', 'Teamwork', 'MS Office']"
Warehouse Executive/Team Leader,Flipkart,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Teamwork']"
Senior Photographer,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Chartered Accountant (CA),Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 8,00,000 - 9,00,000",0-5 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
Mobile App Developer,Buddha Education Association Incorporation,"Mumbai, Pune, Delhi",Starts Immediately,"₹ 6,00,000 - 10,00,000",0-5 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Blockchain Developer,Buddha Education Association Incorporation,"Bangalore, Mumbai, Pune, Delhi",Starts Immediately,"₹ 10,00,000 - 18,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'Time Management']"
Senior Software Developer,Buddha Education Association Incorporation,"Mumbai, Pune",Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Full Stack Developer,Buddha Education Association Incorporation,Work from home,Starts Immediately,"₹ 5,00,000 - 10,00,000",0-5 years,1 week ago,"['Teamwork', 'Time Management', 'Communication']"
Front Desk Manager,Ubuntu Eat,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,1 week ago,"['Time Management', 'MS Office', 'Communication']"
Digital Marketing Manager,Sam Global Trading,Bhavnagar,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['MS Office', 'Teamwork', 'Time Management']"
Business Development Executive,Thoughtsol Infotech Private Limited,Delhi,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago,"['Pitching', 'Excel', 'Market Research']"
Telecaller,Kora By N M Fashion Pvt. Ltd,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,30,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Teamwork']"
Associate Design Engineer,Macrolytics Technology Services Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,20,000",0-2 years,1 week ago,"['Teamwork', 'Time Management', 'Communication']"
WordPress Developer,Luxe BrandMakers Private Limited,Jaipur,Starts Immediately,"₹ 3,00,000 - 3,10,000",0-2 years,1 week ago,"['Time Management', 'Communication', 'MS Office']"
Sales & Marketing Expert,Praiselite Technologies Private Limited,Pune,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,"['MS Office', 'Time Management', 'Teamwork']"
Bitrix24 Developer,VortexWeb,Work from home,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,"['Teamwork', 'MS Office', 'Communication']"
Influencer Marketing Specialist,Confluencr,Bangalore,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,"1 week ago


Be an early applicant","['Communication', 'MS Office', 'Time Management']"
PHYSICS/CHEMISTRY FACULTY FOR JEE/NEET,M.M. Memorial Public Senior Secondary School,Odhan,Starts Immediately,"₹ 5,00,000 - 8,00,000",0-5 years,1 week ago,"['Communication', 'Time Management', 'Teamwork']"
Backend Operating Executive,A1 Advance,"Anantapur, Guntur, Kadapa, Kurnool, Madanapalle, Rajamahendravaram, Srikakulam, Tenali, Vizianagaram, Visakhapatnam, Proddatur, Nellore, Vijayawada, Ongole, Nandyala",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Product Marketing Executive,A1 Advance,"Anantapur, Guntur, Kadapa, Kurnool, Madanapalle, Nandyala, Srikakulam, Visakhapatnam, Vizianagaram, Tenali, Rajamahendravaram, Nellore, Ongole, Vijayawada, Proddatur",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Google Ads', 'SEO', 'Canva']"
Receptionist,A1 Advance,"Kadapa, Madanapalle, Kurnool, Vizianagaram, Guntur, Anantapur, Tenali, Srikakulam, Rajamahendravaram, Visakhapatnam, Nandyal, Nellore, Vijayawada, Ongole, Prodduturu",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Time Management', 'MS Office', 'Teamwork']"
Finance Executive,A1 Advance,"Nellore, Ongole, Vijayawada, Kadapa, Rajamahendravaram, Madanapalle, Kurnool, Guntur, Anantapur, Srikakulam, Nandyal, Proddatur, Visakhapatnam, Vizianagaram, Tenali",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['MS Office', 'Communication', 'Time Management']"
Administration Executive,A1 Advance,"Nellore, Vijayawada, Ongole, Kurnool, Srikakulam, Rajamahendravaram, Madanapalle, Kadapa, Guntur, Visakhapatnam, Nandyal, Proddatur, Anantapur, Vizianagaram, Tenali",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Teamwork', 'Time Management', 'MS Office']"
IT Project Co-ordinator,A1 Advance,"Proddatur, Srikakulam, Visakhapatnam, Vizianagaram, Tenali, Nellore, Ongole, Vijayawada, Nandyal, Guntur, Kurnool, Kadapa, Anantapur, Rajamahendravaram, Madanapalle",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Teamwork', 'Communication', 'MS Office']"
Product Marketing Executive,A1 Advance,"Trichey, Tambaram Sanatorium, Kancheepuram, Tiruchipalli, Tirunelveli, Chennai, Thanjavur, Kanyakumari, Madurai, Coimbatore, Cuddalore, Salem, Kanchipuram, Vellore",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Canva', 'Social Media', 'SEO']"
Backend Operating Executive,A1 Advance,"Cuddalore, Kanyakumari, Kanchipuram, Vellore, Chennai, Thanjavur, Trichey, Kancheepuram, Tambaram Sanatorium, Tiruchipalli, Salem, Tirunelveli, Coimbatore, Madurai",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago,"['Communication', 'Teamwork', 'MS Office']"
